UNICODIGO,NOMBRE_VACUNA,moda
002049,ASTRAZENECA,2021-01-04T00:00:00.000000
002068,ASTRAZENECA,2021-01-21T00:00:00.000000
000812,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
002764,CORONAVAC SINOVAC,2021-01-29T00:00:00.000000
000035,BNT162B2 PFIZER,2021-01-22T00:00:00.000000
002840,BNT162B2 PFIZER,2021-01-11T00:00:00.000000
002974,CORONAVAC SINOVAC,2021-01-21T00:00:00.000000
000900,CORONAVAC SINOVAC,2021-01-19T00:00:00.000000
001624,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000625,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
000514,BNT162B2 PFIZER,2021-01-03T00:00:00.000000
002879,ASTRAZENECA,2021-01-01T00:00:00.000000
001755,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001824,CORONAVAC SINOVAC,2021-01-11T00:00:00.000000
001911,CORONAVAC SINOVAC,2021-01-28T00:00:00.000000
002977,CORONAVAC SINOVAC,2021-01-13T00:00:00.000000
000738,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001305,CORONAVAC SINOVAC,2021-01-07T00:00:00.000000
001621,BNT162B2 PFIZER,2021-01-10T00:00:00.000000
000884,ASTRAZENECA,2021-01-21T00:00:00.000000
000782,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
019545,CANSINO,2021-01-07T00:00:00.000000
001668,OTRA VACUNA,2021-01-06T00:00:00.000000
000667,BNT162B2 PFIZER,2021-01-09T00:00:00.000000
000660,ASTRAZENECA,2021-01-11T00:00:00.000000
001303,ASTRAZENECA,2021-01-06T00:00:00.000000
002794,ASTRAZENECA,2021-01-12T00:00:00.000000
001638,CORONAVAC SINOVAC,2021-01-15T00:00:00.000000
000511,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
001785,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
002906,BNT162B2 PFIZER,2021-01-08T00:00:00.000000
001318,CORONAVAC SINOVAC,2021-01-13T00:00:00.000000
002789,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
002900,CORONAVAC SINOVAC,2021-01-15T00:00:00.000000
001332,CORONAVAC SINOVAC,2021-01-07T00:00:00.000000
000985,CORONAVAC SINOVAC,2021-01-15T00:00:00.000000
000494,CANSINO,2021-01-12T00:00:00.000000
000784,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001521,CORONAVAC SINOVAC,2021-01-17T00:00:00.000000
048775,CANSINO,2021-01-06T00:00:00.000000
000885,CORONAVAC SINOVAC,2021-01-18T00:00:00.000000
000618,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
000422,CORONAVAC SINOVAC,2021-01-06T00:00:00.000000
001989,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
001658,OTRA VACUNA,2021-01-13T00:00:00.000000
000286,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
021035,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
002057,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
002879,BNT162B2 PFIZER,2021-01-09T00:00:00.000000
000642,BNT162B2 PFIZER,2021-01-08T00:00:00.000000
000123,BNT162B2 PFIZER,2021-01-28T00:00:00.000000
000141,BNT162B2 PFIZER,2021-01-28T00:00:00.000000
